,Country or Area,Internet Users,Population,Rank,Percentage,Percentage Rank
0,China,765367947,1409517397,1,54.30,116
1,India,461347554,1339180127,2,34.45,145
2,United States of America,244090854,324459463,3,75.23,68
3,Brazil,141206801,209288278,4,67.47,83
4,Japan,115845120,127484450,5,90.87,23
5,Russia,109446612,143989754,6,76.01,64
6,Indonesia,85242816,263991379,7,32.29,150
7,Mexico,82470752,129163276,8,63.85,92
8,Germany,69304405,82114224,9,84.40,36
9,Philippines,63003313,104918090,10,60.05,103
